Date : 2025-09-11 12:58:09
Directory : c:\Users\MunakalaParthaSaradh\Desktop\development\ReactJs-Advanced-Topics-Gemini\Fit-AI
Total : 146 files,  34753 codes, 821 comments, 3929 blanks, all 39503 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| app\templates\builder\components                                                                                                                     |          7 |      1,624 |         59 |        143 |      1,826 |
| app\templates\builder\constants                                                                                                                      |          1 |        156 |          0 |          6 |        162 |
| app\templates\builder\context                                                                                                                        |          1 |        205 |         13 |         38 |        256 |
| app\templates\builder\data                                                                                                                           |          1 |        388 |          7 |          8 |        403 |
| app\templates\builder\hooks                                                                                                                          |          2 |        361 |         27 |         67 |        455 |
| app\terms                                                                                                                                            |          1 |        172 |          3 |         13 |        188 |
| app\timer                                                                                                                                            |         10 |      3,941 |        114 |        222 |      4,277 |
| app\timer (Files)                                                                                                                                    |          3 |      2,420 |         67 |        124 |      2,611 |
| app\timer\components                                                                                                                                 |          4 |        926 |         30 |         42 |        998 |
| app\timer\data                                                                                                                                       |          1 |        176 |          0 |          2 |        178 |
| app\timer\hooks                                                                                                                                      |          1 |        355 |         17 |         49 |        421 |
| app\timer\types                                                                                                                                      |          1 |         64 |          0 |          5 |         69 |
| app\workouts                                                                                                                                         |          5 |      1,827 |         45 |        160 |      2,032 |
| app\workouts (Files)                                                                                                                                 |          2 |        909 |         10 |         63 |        982 |
| app\workouts\create                                                                                                                                  |          3 |        918 |         35 |         97 |      1,050 |
| components                                                                                                                                           |         53 |      4,822 |        137 |        527 |      5,486 |
| components (Files)                                                                                                                                   |          3 |        118 |          0 |         22 |        140 |
| components\landing                                                                                                                                   |          7 |        689 |         10 |         62 |        761 |
| components\magicui                                                                                                                                   |         20 |      1,945 |        113 |        206 |      2,264 |
| components\shared                                                                                                                                    |          1 |          0 |          0 |          1 |          1 |
| components\ui                                                                                                                                        |         22 |      2,070 |         14 |        236 |      2,320 |
| data                                                                                                                                                 |          4 |      1,256 |          6 |         19 |      1,281 |
| data\exercises                                                                                                                                       |          1 |        305 |          0 |          3 |        308 |
| data\templates                                                                                                                                       |          1 |        557 |          2 |          3 |        562 |
| data\workouts                                                                                                                                        |          2 |        394 |          4 |         13 |        411 |
| hooks                                                                                                                                                |          1 |         15 |          0 |          5 |         20 |
| lib                                                                                                                                                  |          4 |        256 |          2 |         31 |        289 |
| lib (Files)                                                                                                                                          |          2 |         61 |          1 |         14 |         76 |
| lib\types                                                                                                                                            |          2 |        195 |          1 |         17 |        213 |
| public                                                                                                                                               |          2 |          2 |          0 |          0 |          2 |
| styles                                                                                                                                               |          1 |        120 |          0 |          6 |        126 |
+------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                                                             | language           | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| c:\Users\MunakalaParthaSaradh\Desktop\development\ReactJs-Advanced-Topics-Gemini\Fit-AI\.github\copoilot-instrctions.md                              | Markdown           |         75 |          0 |         32 |        107 |
| c:\Users\MunakalaParthaSaradh\Desktop\development\ReactJs-Advanced-Topics-Gemini\Fit-AI\COMMUNITY_WORKOUTS_README.md                                 | Markdown           |         92 |          0 |         16 |        108 |
| c:\Users\MunakalaParthaSaradh\Desktop\development\ReactJs-Advanced-Topics-Gemini\Fit-AI\ELITE-REACT-MASTERY-PLAN.md                                  | Markdown           |        938 |          0 |        180 |      1,118 |
| c:\Users\MunakalaParthaSaradh\Desktop\development\ReactJs-Advanced-Topics-Gemini\Fit-AI\PREMIUM-LANDING-PAGE-PLAN.md                                 | Markdown           |        337 |          0 |         68 |        405 |
| c:\Users\MunakalaParthaSaradh\Desktop\development\ReactJs-Advanced-Topics-Gemini\Fit-AI\PROJECT_DESCRIPTION.md                                       | Markdown           |        243 |          0 |         53 |        296 |
| c:\Users\MunakalaParthaSaradh\Desktop\development\ReactJs-Advanced-Topics-Gemini\Fit-AI\REACT-OPTIMIZATION-ROADMAP.md                                | Markdown           |        395 |          0 |        116 |        511 |
| c:\Users\MunakalaParthaSaradh\Desktop\development\ReactJs-Advanced-Topics-Gemini\Fit-AI\README.md                                                    | Markdown           |         18 |          0 |         13 |         31 |
| c:\Users\MunakalaParthaSaradh\Desktop\development\ReactJs-Advanced-Topics-Gemini\Fit-AI\STATE-ARCHITECTURE.md                                        | Markdown           |          9 |          0 |          3 |         12 |
| c:\Users\MunakalaParthaSaradh\Desktop\development\ReactJs-Advanced-Topics-Gemini\Fit-AI\TEMPLATE-PLAN.md                                             | Markdown           |        365 |          0 |         66 |        431 |
| c:\Users\MunakalaParthaSaradh\Desktop\development\ReactJs-Advanced-Topics-Gemini\Fit-AI\app\ai-coach\page.tsx                                        | TypeScript JSX     |        853 |         16 |         37 |        906 |
| c:\Users\MunakalaParthaSaradh\Desktop\development\ReactJs-Advanced-Topics-Gemini\Fit-AI\app\ai-routines\page.tsx                                     | TypeScript JSX     |        661 |         15 |         35 |        711 |
| c:\Users\MunakalaParthaSaradh\Desktop\development\ReactJs-Advanced-Topics-Gemini\Fit-AI\app\analytics\components\AnalyticsHeader.tsx                 | TypeScript JSX     |         73 |          1 |         10 |         84 |
| c:\Users\MunakalaParthaSaradh\Desktop\development\ReactJs-Advanced-Topics-Gemini\Fit-AI\app\analytics\components\AnalyticsOverview.tsx               | TypeScript JSX     |        220 |         13 |         17 |        250 |
| c:\Users\MunakalaParthaSaradh\Desktop\development\ReactJs-Advanced-Topics-Gemini\Fit-AI\app\analytics\components\ExerciseSelector.tsx                | TypeScript JSX     |         79 |          2 |          8 |         89 |
| c:\Users\MunakalaParthaSaradh\Desktop\development\ReactJs-Advanced-Topics-Gemini\Fit-AI\app\analytics\components\ProgressPhotos.tsx                  | TypeScript JSX     |        229 |          7 |         15 |        251 |
| c:\Users\MunakalaParthaSaradh\Desktop\development\ReactJs-Advanced-Topics-Gemini\Fit-AI\app\analytics\components\charts\BodyWeightChart.tsx          | TypeScript JSX     |        188 |          4 |         12 |        204 |
| c:\Users\MunakalaParthaSaradh\Desktop\development\ReactJs-Advanced-Topics-Gemini\Fit-AI\app\analytics\components\charts\CaloriesBurnedChart.tsx      | TypeScript JSX     |        270 |          7 |         19 |        296 |
| c:\Users\MunakalaParthaSaradh\Desktop\development\ReactJs-Advanced-Topics-Gemini\Fit-AI\app\analytics\components\charts\ConsistencyHeatmap.tsx       | TypeScript JSX     |        234 |         12 |         27 |        273 |
| c:\Users\MunakalaParthaSaradh\Desktop\development\ReactJs-Advanced-Topics-Gemini\Fit-AI\app\analytics\components\charts\PersonalRecordsChart.tsx     | TypeScript JSX     |        123 |          3 |          9 |        135 |
| c:\Users\MunakalaParthaSaradh\Desktop\development\ReactJs-Advanced-Topics-Gemini\Fit-AI\app\analytics\components\charts\StrengthProgressionChart.tsx | TypeScript JSX     |        121 |          1 |          9 |        131 |
| c:\Users\MunakalaParthaSaradh\Desktop\development\ReactJs-Advanced-Topics-Gemini\Fit-AI\app\analytics\components\charts\VolumeProgressionChart.tsx   | TypeScript JSX     |        241 |          6 |         13 |        260 |
| c:\Users\MunakalaParthaSaradh\Desktop\development\ReactJs-Advanced-Topics-Gemini\Fit-AI\app\analytics\components\charts\WorkoutFrequencyChart.tsx    | TypeScript JSX     |        271 |          7 |         23 |        301 |
| c:\Users\MunakalaParthaSaradh\Desktop\development\ReactJs-Advanced-Topics-Gemini\Fit-AI\app\analytics\data\mockData.ts                               | TypeScript         |        163 |         12 |         17 |        192 |
| c:\Users\MunakalaParthaSaradh\Desktop\development\ReactJs-Advanced-Topics-Gemini\Fit-AI\app\analytics\page.tsx                                       | TypeScript JSX     |        150 |          5 |         18 |        173 |
| c:\Users\MunakalaParthaSaradh\Desktop\development\ReactJs-Advanced-Topics-Gemini\Fit-AI\app\analytics\types\index.ts                                 | TypeScript         |         95 |          0 |         11 |        106 |
| c:\Users\MunakalaParthaSaradh\Desktop\development\ReactJs-Advanced-Topics-Gemini\Fit-AI\app\auth\forgot-password\page.tsx                            | TypeScript JSX     |        146 |          3 |         13 |        162 |
| c:\Users\MunakalaParthaSaradh\Desktop\development\ReactJs-Advanced-Topics-Gemini\Fit-AI\app\auth\login\page.tsx                                      | TypeScript JSX     |        232 |          2 |         18 |        252 |
| c:\Users\MunakalaParthaSaradh\Desktop\development\ReactJs-Advanced-Topics-Gemini\Fit-AI\app\auth\register\page.tsx                                   | TypeScript JSX     |        355 |          2 |         26 |        383 |
| c:\Users\MunakalaParthaSaradh\Desktop\development\ReactJs-Advanced-Topics-Gemini\Fit-AI\app\community\community.css                                  | PostCSS            |        123 |          2 |         29 |        154 |
| c:\Users\MunakalaParthaSaradh\Desktop\development\ReactJs-Advanced-Topics-Gemini\Fit-AI\app\community\loading.tsx                                    | TypeScript JSX     |          3 |          0 |          1 |          4 |
| c:\Users\MunakalaParthaSaradh\Desktop\development\ReactJs-Advanced-Topics-Gemini\Fit-AI\app\community\page.tsx                                       | TypeScript JSX     |        927 |         13 |         38 |        978 |
| c:\Users\MunakalaParthaSaradh\Desktop\development\ReactJs-Advanced-Topics-Gemini\Fit-AI\app\globals.css                                              | PostCSS            |        624 |        110 |        116 |        850 |
| c:\Users\MunakalaParthaSaradh\Desktop\development\ReactJs-Advanced-Topics-Gemini\Fit-AI\app\goals\page.tsx                                           | TypeScript JSX     |        476 |          2 |         28 |        506 |
| c:\Users\MunakalaParthaSaradh\Desktop\development\ReactJs-Advanced-Topics-Gemini\Fit-AI\app\landing\page.tsx                                         | TypeScript JSX     |         19 |          0 |          3 |         22 |
| c:\Users\MunakalaParthaSaradh\Desktop\development\ReactJs-Advanced-Topics-Gemini\Fit-AI\app\layout.tsx                                               | TypeScript JSX     |         59 |          0 |          3 |         62 |
| c:\Users\MunakalaParthaSaradh\Desktop\development\ReactJs-Advanced-Topics-Gemini\Fit-AI\app\linear-overrides.css                                     | PostCSS            |        234 |         23 |         51 |        308 |
| c:\Users\MunakalaParthaSaradh\Desktop\development\ReactJs-Advanced-Topics-Gemini\Fit-AI\app\page-new.tsx                                             | TypeScript JSX     |        513 |         10 |         39 |        562 |
| c:\Users\MunakalaParthaSaradh\Desktop\development\ReactJs-Advanced-Topics-Gemini\Fit-AI\app\page.tsx                                                 | TypeScript JSX     |        503 |         11 |         37 |        551 |
| c:\Users\MunakalaParthaSaradh\Desktop\development\ReactJs-Advanced-Topics-Gemini\Fit-AI\app\privacy\page.tsx                                         | TypeScript JSX     |        233 |          3 |         14 |        250 |
| c:\Users\MunakalaParthaSaradh\Desktop\development\ReactJs-Advanced-Topics-Gemini\Fit-AI\app\progress\page.tsx                                        | TypeScript JSX     |        777 |          6 |         37 |        820 |
| c:\Users\MunakalaParthaSaradh\Desktop\development\ReactJs-Advanced-Topics-Gemini\Fit-AI\app\templates\builder\README.md                              | Markdown           |        118 |          0 |         28 |        146 |
| c:\Users\MunakalaParthaSaradh\Desktop\development\ReactJs-Advanced-Topics-Gemini\Fit-AI\app\templates\builder\components\ExerciseBuilderStep.tsx     | TypeScript JSX     |        334 |          8 |         31 |        373 |
| c:\Users\MunakalaParthaSaradh\Desktop\development\ReactJs-Advanced-Topics-Gemini\Fit-AI\app\templates\builder\components\ExerciseSelectionModal.tsx  | TypeScript JSX     |        360 |         26 |         36 |        422 |
| c:\Users\MunakalaParthaSaradh\Desktop\development\ReactJs-Advanced-Topics-Gemini\Fit-AI\app\templates\builder\components\ReviewStep.tsx              | TypeScript JSX     |        272 |          7 |         21 |        300 |
| c:\Users\MunakalaParthaSaradh\Desktop\development\ReactJs-Advanced-Topics-Gemini\Fit-AI\app\templates\builder\components\StepNavigation.tsx          | TypeScript JSX     |        196 |          5 |         16 |        217 |
| c:\Users\MunakalaParthaSaradh\Desktop\development\ReactJs-Advanced-Topics-Gemini\Fit-AI\app\templates\builder\components\TemplateInfoStep.tsx        | TypeScript JSX     |        202 |          6 |         14 |        222 |
| c:\Users\MunakalaParthaSaradh\Desktop\development\ReactJs-Advanced-Topics-Gemini\Fit-AI\app\templates\builder\components\WeeklyStructureStep.tsx     | TypeScript JSX     |        254 |          6 |         24 |        284 |
| c:\Users\MunakalaParthaSaradh\Desktop\development\ReactJs-Advanced-Topics-Gemini\Fit-AI\app\templates\builder\components\index.ts                    | TypeScript         |          6 |          1 |          1 |          8 |
| c:\Users\MunakalaParthaSaradh\Desktop\development\ReactJs-Advanced-Topics-Gemini\Fit-AI\app\templates\builder\constants\index.ts                     | TypeScript         |        156 |          0 |          6 |        162 |
| c:\Users\MunakalaParthaSaradh\Desktop\development\ReactJs-Advanced-Topics-Gemini\Fit-AI\app\templates\builder\context\TemplateBuilderContext.tsx     | TypeScript JSX     |        205 |         13 |         38 |        256 |
| c:\Users\MunakalaParthaSaradh\Desktop\development\ReactJs-Advanced-Topics-Gemini\Fit-AI\app\templates\builder\data\exercises.ts                      | TypeScript         |        388 |          7 |          8 |        403 |
| c:\Users\MunakalaParthaSaradh\Desktop\development\ReactJs-Advanced-Topics-Gemini\Fit-AI\app\templates\builder\hooks\useTemplateBuilder.ts            | TypeScript         |         86 |          5 |         15 |        106 |
| c:\Users\MunakalaParthaSaradh\Desktop\development\ReactJs-Advanced-Topics-Gemini\Fit-AI\app\templates\builder\hooks\useTemplateBuilderOptimized.ts   | TypeScript         |        275 |         22 |         52 |        349 |
| c:\Users\MunakalaParthaSaradh\Desktop\development\ReactJs-Advanced-Topics-Gemini\Fit-AI\app\templates\builder\page-new.tsx                           | TypeScript JSX     |        197 |         13 |         22 |        232 |
| c:\Users\MunakalaParthaSaradh\Desktop\development\ReactJs-Advanced-Topics-Gemini\Fit-AI\app\templates\builder\page-old.tsx                           | TypeScript JSX     |        995 |         33 |         78 |      1,106 |
| c:\Users\MunakalaParthaSaradh\Desktop\development\ReactJs-Advanced-Topics-Gemini\Fit-AI\app\templates\builder\page.tsx                               | TypeScript JSX     |        173 |         40 |         22 |        235 |
| c:\Users\MunakalaParthaSaradh\Desktop\development\ReactJs-Advanced-Topics-Gemini\Fit-AI\app\templates\page.tsx                                       | TypeScript JSX     |        432 |         13 |         37 |        482 |
| c:\Users\MunakalaParthaSaradh\Desktop\development\ReactJs-Advanced-Topics-Gemini\Fit-AI\app\terms\page.tsx                                           | TypeScript JSX     |        172 |          3 |         13 |        188 |
| c:\Users\MunakalaParthaSaradh\Desktop\development\ReactJs-Advanced-Topics-Gemini\Fit-AI\app\timer\components\ExerciseHeader.tsx                      | TypeScript JSX     |        133 |          0 |          4 |        137 |
| c:\Users\MunakalaParthaSaradh\Desktop\development\ReactJs-Advanced-Topics-Gemini\Fit-AI\app\timer\components\RestTimer.tsx                           | TypeScript JSX     |         90 |          0 |          5 |         95 |
| c:\Users\MunakalaParthaSaradh\Desktop\development\ReactJs-Advanced-Topics-Gemini\Fit-AI\app\timer\components\SetInput.tsx                            | TypeScript JSX     |        647 |         30 |         29 |        706 |
| c:\Users\MunakalaParthaSaradh\Desktop\development\ReactJs-Advanced-Topics-Gemini\Fit-AI\app\timer\components\WorkoutProgress.tsx                     | TypeScript JSX     |         56 |          0 |          4 |         60 |
| c:\Users\MunakalaParthaSaradh\Desktop\development\ReactJs-Advanced-Topics-Gemini\Fit-AI\app\timer\data\sampleWorkout.ts                              | TypeScript         |        176 |          0 |          2 |        178 |
| c:\Users\MunakalaParthaSaradh\Desktop\development\ReactJs-Advanced-Topics-Gemini\Fit-AI\app\timer\hooks\useWorkoutTimer.ts                           | TypeScript         |        355 |         17 |         49 |        421 |
| c:\Users\MunakalaParthaSaradh\Desktop\development\ReactJs-Advanced-Topics-Gemini\Fit-AI\app\timer\page-new-timer.tsx                                 | TypeScript JSX     |        732 |         19 |         38 |        789 |
| c:\Users\MunakalaParthaSaradh\Desktop\development\ReactJs-Advanced-Topics-Gemini\Fit-AI\app\timer\page-old.tsx                                       | TypeScript JSX     |      1,034 |         29 |         48 |      1,111 |
| c:\Users\MunakalaParthaSaradh\Desktop\development\ReactJs-Advanced-Topics-Gemini\Fit-AI\app\timer\page.tsx                                           | TypeScript JSX     |        654 |         19 |         38 |        711 |
| c:\Users\MunakalaParthaSaradh\Desktop\development\ReactJs-Advanced-Topics-Gemini\Fit-AI\app\timer\types\workout.ts                                   | TypeScript         |         64 |          0 |          5 |         69 |
| c:\Users\MunakalaParthaSaradh\Desktop\development\ReactJs-Advanced-Topics-Gemini\Fit-AI\app\workouts\create\loading.tsx                              | TypeScript JSX     |        115 |          4 |         12 |        131 |
| c:\Users\MunakalaParthaSaradh\Desktop\development\ReactJs-Advanced-Topics-Gemini\Fit-AI\app\workouts\create\page-optimized.tsx                       | TypeScript JSX     |        378 |         19 |         44 |        441 |
| c:\Users\MunakalaParthaSaradh\Desktop\development\ReactJs-Advanced-Topics-Gemini\Fit-AI\app\workouts\create\page.tsx                                 | TypeScript JSX     |        425 |         12 |         41 |        478 |
| c:\Users\MunakalaParthaSaradh\Desktop\development\ReactJs-Advanced-Topics-Gemini\Fit-AI\app\workouts\loading.tsx                                     | TypeScript JSX     |          3 |          0 |          1 |          4 |
| c:\Users\MunakalaParthaSaradh\Desktop\development\ReactJs-Advanced-Topics-Gemini\Fit-AI\app\workouts\page.tsx                                        | TypeScript JSX     |        906 |         10 |         62 |        978 |
| c:\Users\MunakalaParthaSaradh\Desktop\development\ReactJs-Advanced-Topics-Gemini\Fit-AI\components.json                                              | JSON               |         21 |          0 |          1 |         22 |
| c:\Users\MunakalaParthaSaradh\Desktop\development\ReactJs-Advanced-Topics-Gemini\Fit-AI\components\app-header.tsx                                    | TypeScript JSX     |         74 |          0 |         11 |         85 |
| c:\Users\MunakalaParthaSaradh\Desktop\development\ReactJs-Advanced-Topics-Gemini\Fit-AI\components\landing\bento-grid.tsx                            | TypeScript JSX     |         67 |          0 |         10 |         77 |
| c:\Users\MunakalaParthaSaradh\Desktop\development\ReactJs-Advanced-Topics-Gemini\Fit-AI\components\landing\cta-section.tsx                           | TypeScript JSX     |         52 |          0 |          7 |         59 |
| c:\Users\MunakalaParthaSaradh\Desktop\development\ReactJs-Advanced-Topics-Gemini\Fit-AI\components\landing\features-section.tsx                      | TypeScript JSX     |        151 |          0 |         11 |        162 |
| c:\Users\MunakalaParthaSaradh\Desktop\development\ReactJs-Advanced-Topics-Gemini\Fit-AI\components\landing\footer.tsx                                | TypeScript JSX     |        117 |          3 |          7 |        127 |
| c:\Users\MunakalaParthaSaradh\Desktop\development\ReactJs-Advanced-Topics-Gemini\Fit-AI\components\landing\header.tsx                                | TypeScript JSX     |        111 |          5 |         10 |        126 |
| c:\Users\MunakalaParthaSaradh\Desktop\development\ReactJs-Advanced-Topics-Gemini\Fit-AI\components\landing\hero-section.tsx                          | TypeScript JSX     |         79 |          1 |          8 |         88 |
| c:\Users\MunakalaParthaSaradh\Desktop\development\ReactJs-Advanced-Topics-Gemini\Fit-AI\components\landing\testimonials-section.tsx                  | TypeScript JSX     |        112 |          1 |          9 |        122 |
| c:\Users\MunakalaParthaSaradh\Desktop\development\ReactJs-Advanced-Topics-Gemini\Fit-AI\components\magicui\animated-beam.tsx                         | TypeScript JSX     |        167 |          6 |         15 |        188 |
| c:\Users\MunakalaParthaSaradh\Desktop\development\ReactJs-Advanced-Topics-Gemini\Fit-AI\components\magicui\animated-gradient-text.tsx                | TypeScript JSX     |         35 |          0 |          3 |         38 |
| c:\Users\MunakalaParthaSaradh\Desktop\development\ReactJs-Advanced-Topics-Gemini\Fit-AI\components\magicui\animated-shiny-text.tsx                   | TypeScript JSX     |         32 |          2 |          8 |         42 |
| c:\Users\MunakalaParthaSaradh\Desktop\development\ReactJs-Advanced-Topics-Gemini\Fit-AI\components\magicui\animated-subscribe-button.tsx             | TypeScript JSX     |         96 |          0 |          7 |        103 |
| c:\Users\MunakalaParthaSaradh\Desktop\development\ReactJs-Advanced-Topics-Gemini\Fit-AI\components\magicui\animated-theme-toggler.tsx                | TypeScript JSX     |         46 |          0 |          8 |         54 |
| c:\Users\MunakalaParthaSaradh\Desktop\development\ReactJs-Advanced-Topics-Gemini\Fit-AI\components\magicui\aurora-text.tsx                           | TypeScript JSX     |         68 |          0 |          8 |         76 |
| c:\Users\MunakalaParthaSaradh\Desktop\development\ReactJs-Advanced-Topics-Gemini\Fit-AI\components\magicui\blur-fade.tsx                             | TypeScript JSX     |         77 |          0 |          5 |         82 |
| c:\Users\MunakalaParthaSaradh\Desktop\development\ReactJs-Advanced-Topics-Gemini\Fit-AI\components\magicui\border-beam.tsx                           | TypeScript JSX     |         75 |          0 |          5 |         80 |
| c:\Users\MunakalaParthaSaradh\Desktop\development\ReactJs-Advanced-Topics-Gemini\Fit-AI\components\magicui\dock.tsx                                  | TypeScript JSX     |         81 |          0 |         17 |         98 |
| c:\Users\MunakalaParthaSaradh\Desktop\development\ReactJs-Advanced-Topics-Gemini\Fit-AI\components\magicui\globe.tsx                                 | TypeScript JSX     |        115 |          0 |         14 |        129 |
| c:\Users\MunakalaParthaSaradh\Desktop\development\ReactJs-Advanced-Topics-Gemini\Fit-AI\components\magicui\interactive-hover-button.tsx              | TypeScript JSX     |         32 |          0 |          4 |         36 |
| c:\Users\MunakalaParthaSaradh\Desktop\development\ReactJs-Advanced-Topics-Gemini\Fit-AI\components\magicui\magic-card.tsx                            | TypeScript JSX     |         97 |          0 |         12 |        109 |
| c:\Users\MunakalaParthaSaradh\Desktop\development\ReactJs-Advanced-Topics-Gemini\Fit-AI\components\magicui\marquee.tsx                               | TypeScript JSX     |         52 |          0 |          5 |         57 |
| c:\Users\MunakalaParthaSaradh\Desktop\development\ReactJs-Advanced-Topics-Gemini\Fit-AI\components\magicui\meteors.tsx                               | TypeScript JSX     |         53 |          2 |          6 |         61 |
| c:\Users\MunakalaParthaSaradh\Desktop\development\ReactJs-Advanced-Topics-Gemini\Fit-AI\components\magicui\neon-gradient-card.tsx                    | TypeScript JSX     |         98 |         36 |         16 |        150 |
| c:\Users\MunakalaParthaSaradh\Desktop\development\ReactJs-Advanced-Topics-Gemini\Fit-AI\components\magicui\number-ticker.tsx                         | TypeScript JSX     |         60 |          0 |          8 |         68 |
| c:\Users\MunakalaParthaSaradh\Desktop\development\ReactJs-Advanced-Topics-Gemini\Fit-AI\components\magicui\particles.tsx                             | TypeScript JSX     |        273 |          5 |         36 |        314 |
| c:\Users\MunakalaParthaSaradh\Desktop\development\ReactJs-Advanced-Topics-Gemini\Fit-AI\components\magicui\shimmer-button.tsx                        | TypeScript JSX     |         78 |          8 |         11 |         97 |
| c:\Users\MunakalaParthaSaradh\Desktop\development\ReactJs-Advanced-Topics-Gemini\Fit-AI\components\magicui\shine-border.tsx                          | TypeScript JSX     |         41 |         17 |          5 |         63 |
| c:\Users\MunakalaParthaSaradh\Desktop\development\ReactJs-Advanced-Topics-Gemini\Fit-AI\components\magicui\text-animate.tsx                          | TypeScript JSX     |        369 |         37 |         13 |        419 |
| c:\Users\MunakalaParthaSaradh\Desktop\development\ReactJs-Advanced-Topics-Gemini\Fit-AI\components\shared\Header.tsx                                 | TypeScript JSX     |          0 |          0 |          1 |          1 |
| c:\Users\MunakalaParthaSaradh\Desktop\development\ReactJs-Advanced-Topics-Gemini\Fit-AI\components\theme-provider.tsx                                | TypeScript JSX     |         12 |          0 |          4 |         16 |
| c:\Users\MunakalaParthaSaradh\Desktop\development\ReactJs-Advanced-Topics-Gemini\Fit-AI\components\theme-toggle.tsx                                  | TypeScript JSX     |         32 |          0 |          7 |         39 |
| c:\Users\MunakalaParthaSaradh\Desktop\development\ReactJs-Advanced-Topics-Gemini\Fit-AI\components\ui\accordion.tsx                                  | TypeScript JSX     |         59 |          0 |          8 |         67 |
| c:\Users\MunakalaParthaSaradh\Desktop\development\ReactJs-Advanced-Topics-Gemini\Fit-AI\components\ui\alert.tsx                                      | TypeScript JSX     |         60 |          0 |          7 |         67 |
| c:\Users\MunakalaParthaSaradh\Desktop\development\ReactJs-Advanced-Topics-Gemini\Fit-AI\components\ui\avatar.tsx                                     | TypeScript JSX     |         47 |          0 |          7 |         54 |
| c:\Users\MunakalaParthaSaradh\Desktop\development\ReactJs-Advanced-Topics-Gemini\Fit-AI\components\ui\badge.tsx                                      | TypeScript JSX     |         41 |          0 |          6 |         47 |
